time,OBS3,OBS2,OBS1
252288000.0000,0.2329817199E-03,0.5060927260E-02,11.88384664
504576000.0000,0.1420683151E-02,0.3993576067E-01,26.11887955
756864000.0000,0.1162606487E-01,0.3382036954,91.70562406
1009152000.000,0.8595835628E-01,1.724404042,141.6204143
1261440000.000,0.3545659122,5.770214241,248.7610138
1513728000.000,0.9989440365,13.33333048,294.7094034
1766016000.000,2.034113366,24.05289203,325.9511541
2018304000.000,3.254435872,36.71806546,341.4535486
2270592000.000,4.586775481,49.32993367,350.1504772
2522880000.000,5.949925182,61.89568713,358.5665987
